"Husstandsopdelte forbrugerprisindeks (2015=100) efter enhed,"
"husstandsgrupper, varegruppe og tid"

" "," "," ","2015M01","2015M02","2015M03","2015M04","2015M05","2015M06","2015M07","2015M08","2015M09","2015M10","2015M11","2015M12"
" "," ","06.2 Ambulant behandling",1.7,1.7,1.7,2.1,2.1,2.1,2.1,2.1,2.1,1.2,1.2,1.2
" "," ","06.3 Hospitalstjenester",0.5,0.3,0.3,0.3,0.3,0.3,0.0,-0.3,-0.3,0.3,0.3,0.3
" "," ","07. Transport",-2.9,-1.4,-0.7,-0.2,0.4,-0.2,-0.2,-1.2,-2.2,-1.8,-1.6,-1.0
" "," ","07.1 Køb af køretøjer",1.2,0.5,0.5,0.3,0.3,0.2,0.2,0.1,-0.1,-0.6,0.0,-1.2
" "," ","07.2 Drift af personlige transportmidler",-6.3,-3.6,-2.0,-1.5,-1.1,-1.5,-1.6,-3.3,-4.9,-3.8,-3.3,-1.1
" "," ","07.3 Transporttjenester",0.9,0.7,-0.5,1.6,5.1,1.5,2.1,2.2,2.6,2.8,0.9,-0.4
" "," ","08. Kommunikation",-4.8,-5.0,-3.6,-3.6,-3.6,-5.5,-5.0,-5.2,-5.5,-5.4,-4.7,-3.9
" "," ","08.1 Posttjenester",8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2
" "," ","08.2 Telefon- og telefaxudstyr",-9.6,-8.6,-6.7,-5.8,-3.2,-2.5,-2.2,-2.0,-1.9,-1.6,1.4,2.7
" "," ","08.3 Teletjenester",-4.5,-4.8,-3.7,-3.9,-4.2,-6.7,-6.2,-6.5,-7.0,-6.7,-6.4,-5.4
" "," ","09. Fritid og kultur",0.4,1.1,0.9,1.2,0.9,0.7,0.8,0.7,0.4,0.9,1.0,0.9
" "," ","09.1 Audiovisuelt og fotografisk udstyr og dataudstyr",-6.0,-4.5,-3.8,-2.6,-2.1,-2.9,-3.2,-4.4,-5.1,-6.2,-3.8,-3.2
" "," ","09.2 Andre større varige forbrugsgoder til fritids- og kulturaktiviteter",0.4,2.0,2.1,1.9,1.9,1.9,1.9,2.0,1.9,2.2,2.3,2.3
" "," ","09.3 Andet tilbehør og udstyr til fritid, haver og kæledyr",-0.1,-0.6,-0.1,0.3,-0.3,-2.4,-1.1,-0.9,-1.3,-1.8,-1.4,-1.0
" "," ","09.4 Fritids- og kulturtjenester",1.5,1.3,1.5,0.9,1.0,0.8,0.9,1.1,0.4,1.0,1.3,1.3
" "," ","09.5 Aviser, bøger og papirvarer",11.5,5.2,8.2,12.5,11.4,15.8,6.6,13.1,13.7,18.3,14.2,9.4
" "," ","09.6 Pakkerejser",1.1,3.9,2.2,-0.7,-0.3,1.4,0.4,1.1,0.7,2.2,3.2,2.4
" "," ","10. Uddannelse",2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.7,3.0,2.5,2.5,2.5
" "," ","11. Restauranter og hoteller",1.4,1.2,1.9,1.6,1.3,1.2,0.2,0.6,0.9,0.5,0.5,0.7
" "," ","11.1 Restauranter, cafeer og kantiner mv.",1.4,1.8,1.9,1.6,1.6,1.9,0.5,0.5,0.5,0.3,0.2,0.2
" "," ","11.2 Overnatningsfaciliteter",0.7,-4.0,1.3,-0.2,-4.2,-9.0,-3.7,0.8,2.6,2.7,2.1,5.2
" "," ","12. Andre varer og tjenester",0.9,0.8,0.9,0.9,0.9,0.9,1.7,2.7,2.6,2.4,2.6,2.5
" "," ","12.1 Personlig pleje",0.4,0.0,0.7,0.9,0.5,0.4,0.3,0.2,0.1,-0.7,0.9,-0.1
" "," ","12.3 Andre personlige effekter",0.1,-0.3,-0.4,-0.3,0.2,0.3,1.0,1.2,1.5,1.3,0.5,0.3
" "," ","12.4 Daginstitutioner og social forsorg",-2.3,-2.3,-2.3,-2.3,-2.3,-2.3,-2.1,1.6,1.6,1.6,1.6,1.6
" "," ","12.5 Forsikring",2.4,2.4,2.4,1.7,1.7,1.7,2.3,2.3,2.3,1.7,1.7,1.7
" "," ","12.6 Finansielle tjenester",3.8,3.8,3.8,3.4,3.8,3.8,7.4,7.4,7.4,8.3,8.2,8.2
" "," ","12.7 Andre tjenester",1.6,1.6,2.0,2.4,2.4,2.3,2.3,2.3,2.2,2.5,2.5,2.3
" ","1.000.000 kr. og derover"
" "," ","00 Forbrugerprisindekset i alt",0.1,0.3,0.7,0.7,0.8,0.9,0.7,0.6,0.6,0.6,0.6,0.6
" "," ","01 Fødevarer og ikke-alkoholiske drikkevarer",0.5,0.4,1.4,1.5,1.3,1.6,1.2,0.9,1.5,1.3,0.9,1.2
" "," ","01.1 Fødevarer",0.8,0.4,1.4,1.5,1.6,2.0,1.4,1.3,1.5,1.3,1.1,1.9
" "," ","01.2 Ikke-alkoholiske drikkevarer",-2.8,0.5,1.2,1.9,-1.6,-2.2,-0.1,-1.6,0.8,0.9,-1.3,-3.9
" "," ","02. Alkoholiske drikkevarer og tobak",-0.1,-0.8,0.4,0.6,0.6,-0.2,0.3,0.5,1.7,0.5,1.2,0.4
" "," ","02.1 Alkoholiske drikkevarer",-0.2,-1.0,0.6,0.9,0.6,-0.4,0.1,0.5,2.3,0.6,1.5,0.4
" "," ","02.2 Tobak",0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4
" "," ","03. Beklædning og fodtøj",-2.4,-0.5,0.6,0.3,0.1,0.0,3.0,1.5,-0.2,0.5,0.1,1.6
" "," ","03.1 Beklædning",-4.3,-2.4,-1.2,-1.2,-1.3,-1.9,0.8,-0.4,-1.8,-1.1,-1.4,0.0
" "," ","03.2 Fodtøj",4.6,7.0,7.5,5.8,4.9,6.4,9.0,7.0,5.6,6.2,5.3,6.7
" "," ","04. Boligbenyttelse, elektricitet og opvarmning",0.4,0.3,0.3,0.3,0.3,0.2,0.3,0.2,0.2,0.0,-0.2,-0.2
" "," ","04.1 Faktisk husleje",1.6,2.1,1.4,3.1,2.4,2.2,3.1,2.9,1.8,1.6,2.0,2.0
" "," ","04.2 Beregnet lejeværdi af bolig",1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
" "," ","04.3 Vedligeholdelse og reparation af bolig",2.2,2.4,1.3,1.6,2.4,1.3,0.6,0.7,0.6,1.5,2.1,1.9
" "," ","04.4 Vandforsyning og andre tjenester i forbindelse med boligen",-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,0.1,0.1,0.1,0.0,0.0,0.0
" "," ","04.5 Elektricitet, gas og andet brændsel",-4.9,-5.1,-4.9,-5.4,-5.1,-5.2,-5.1,-5.7,-5.1,-6.7,-7.4,-7.5
" "," ","05. Møbler, husholdningsudstyr og husholdningstjenester",-0.6,0.9,1.1,0.2,0.1,2.3,1.5,0.7,1.5,1.2,0.6,1.0
" "," ","05.1 Møbler og boligudstyr, tæpper og anden gulvbelægning",-0.7,2.9,3.2,0.9,1.4,5.6,4.0,1.6,3.1,4.3,1.3,3.0
" "," ","05.2 Boligtekstiler",-1.5,1.2,-0.6,1.4,1.1,2.3,2.6,-1.8,-0.5,-2.0,2.2,2.8
" "," ","05.3 Husholdningsapparater og reparation heraf",-2.1,-3.0,-0.7,-0.3,-1.7,0.0,0.1,0.9,0.9,-0.8,0.5,0.4
" "," ","05.4 Glas, service og husholdningsredskaber",-0.4,1.2,-0.3,-1.0,-0.5,1.7,-0.7,1.9,0.0,0.2,-0.9,-3.5
" "," ","05.5 Værktøj og udstyr til hus og have",0.6,0.9,1.2,-1.6,-1.5,-1.4,-0.6,-0.7,1.7,0.1,-0.1,0.4
" "," ","05.6 Andre varer og tjenester til husholdningen",0.9,0.9,0.4,1.0,0.7,0.4,0.3,0.0,0.4,-0.1,-0.2,-0.2
" "," ","06. Sundhed",1.0,1.0,1.2,1.6,1.5,1.4,1.0,0.9,0.8,0.2,-0.2,-0.5
" "," ","06.1 Medicinske produkter, apparater og medicinsk udstyr",0.2,0.2,0.7,1.1,1.0,1.0,-0.1,-0.2,-0.4,-0.8,-1.7,-2.3
" "," ","06.2 Ambulant behandling",1.8,1.8,1.8,2.0,2.0,2.0,2.0,2.0,2.0,1.1,1.1,1.1
" "," ","06.3 Hospitalstjenester",0.5,0.3,0.3,0.3,0.3,0.3,0.0,-0.3,-0.3,0.3,0.3,0.3
" "," ","07. Transport",-1.1,-0.1,0.3,1.0,1.6,1.1,0.7,-0.3,-1.1,-0.9,-0.8,-0.9
" "," ","07.1 Køb af køretøjer",1.1,0.5,0.5,0.2,0.3,0.0,-0.1,-0.3,-0.5,-0.9,-0.2,-1.6
" "," ","07.2 Drift af personlige transportmidler",-3.6,-1.3,-0.1,0.9,1.4,1.1,-0.3,-1.8,-3.0,-2.4,-2.1,-0.5
" "," ","07.3 Transporttjenester",1.9,1.4,0.1,2.1,5.9,2.4,3.3,3.5,3.4,3.0,1.0,-0.1
" "," ","08. Kommunikation",-4.5,-4.6,-3.4,-3.3,-3.0,-4.4,-4.0,-4.1,-4.4,-4.2,-3.5,-2.7
" "," ","08.1 Posttjenester",8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2
" "," ","08.2 Telefon- og telefaxudstyr",-9.6,-8.8,-6.8,-5.9,-3.3,-2.5,-2.2,-2.0,-1.9,-1.5,1.4,2.7
" "," ","08.3 Teletjenester",-4.2,-4.5,-3.6,-3.7,-4.1,-6.1,-5.6,-5.9,-6.4,-6.0,-5.8,-4.9
" "," ","09. Fritid og kultur",1.0,0.2,1.0,1.1,1.3,1.4,-0.2,1.0,0.6,1.2,1.7,1.2
" "," ","09.1 Audiovisuelt og fotografisk udstyr og dataudstyr",-6.2,-5.0,-4.1,-2.9,-2.4,-2.7,-3.2,-4.1,-4.8,-5.8,-3.5,-3.1
" "," ","09.2 Andre større varige forbrugsgoder til fritids- og kulturaktiviteter",0.5,1.6,1.7,1.5,1.6,1.7,1.6,1.6,1.7,1.7,2.0,1.9
" "," ","09.3 Andet tilbehør og udstyr til fritid, haver og kæledyr",0.5,-0.5,0.1,0.5,0.1,-2.1,-1.1,-0.9,-1.5,-2.0,-1.5,-1.3
" "," ","09.4 Fritids- og kulturtjenester",1.3,1.1,1.2,0.3,0.6,0.3,0.6,0.8,-0.1,0.6,0.9,0.9
" "," ","09.5 Aviser, bøger og papirvarer",13.7,4.5,9.3,14.8,13.3,18.9,6.4,15.3,15.9,21.6,16.4,10.9
" "," ","09.6 Pakkerejser",1.1,3.9,2.2,-0.7,-0.3,1.4,0.4,1.1,0.7,2.2,3.2,2.4
" "," ","10. Uddannelse",2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.9,3.3,2.7,2.7,2.7
" "," ","11. Restauranter og hoteller",1.3,0.9,1.9,1.6,1.2,0.9,0.2,0.8,1.3,0.9,0.8,1.0
" "," ","11.1 Restauranter, cafeer og kantiner mv.",1.5,1.9,1.9,1.7,1.7,1.9,0.6,0.5,0.7,0.3,0.4,0.3
" "," ","11.2 Overnatningsfaciliteter",0.7,-4.0,1.4,-0.2,-4.2,-8.9,-3.7,0.9,2.6,2.8,2.1,5.2
" "," ","12. Andre varer og tjenester",1.0,0.9,1.0,0.9,0.9,0.8,1.9,3.1,3.2,3.0,3.2,3.1
" "," ","12.1 Personlig pleje",0.3,0.3,0.6,1.0,0.8,0.7,0.3,0.5,0.4,-0.2,1.2,0.5
" "," ","12.3 Andre personlige effekter",1.0,0.7,0.8,0.3,0.2,0.2,0.9,1.4,1.7,0.8,-0.1,-0.1
" "," ","12.4 Daginstitutioner og social forsorg",-3.8,-3.8,-3.8,-3.8,-3.8,-3.8,-3.7,1.6,1.6,1.6,1.6,1.6
" "," ","12.5 Forsikring",2.4,2.4,2.4,1.7,1.7,1.7,2.3,2.3,2.3,1.7,1.7,1.7
" "," ","12.6 Finansielle tjenester",4.1,4.1,4.1,3.6,3.9,3.9,7.8,7.8,7.8,8.9,8.8,8.8
" "," ","12.7 Andre tjenester",1.5,1.5,2.1,2.6,2.6,2.5,2.5,2.5,2.1,2.4,2.4,2.0

