"Husstandsopdelte forbrugerprisindeks (2015=100) efter enhed,"
"husstandsgrupper, varegruppe og tid"

" "," "," ","2016M01","2016M02","2016M03","2016M04","2016M05","2016M06","2016M07","2016M08","2016M09","2016M10","2016M11","2016M12"
" "," ","06. Sundhed",-1.1,-2.4,-2.5,-2.9,-2.6,-1.1,-0.9,-0.8,-0.1,0.6,0.5,0.4
" "," ","06.1 Medicinske produkter, apparater og medicinsk udstyr",-3.4,-6.2,-6.4,-7.1,-6.5,-3.0,-1.8,-1.4,0.1,0.6,0.3,0.1
" "," ","06.2 Ambulant behandling",1.2,1.2,1.2,1.0,1.0,1.0,1.0,1.0,1.0,2.1,2.1,2.1
" "," ","06.3 Hospitalstjenester",-0.5,-0.5,-0.5,-0.6,-0.6,-0.6,-2.3,-2.3,-2.3,-2.0,-2.0,-2.0
" "," ","07. Transport",-0.5,-3.0,-2.8,-3.1,-2.9,-2.7,-2.9,-2.3,-0.7,0.0,-0.6,1.8
" "," ","07.1 Køb af køretøjer",-1.3,-1.2,-1.4,-1.3,-1.3,-1.3,-1.2,-1.3,-1.0,-1.1,-1.2,-0.3
" "," ","07.2 Drift af personlige transportmidler",-0.4,-4.5,-4.1,-4.1,-3.8,-3.3,-4.5,-2.9,0.0,1.5,0.4,4.1
" "," ","07.3 Transporttjenester",0.9,1.2,0.4,-1.8,-2.0,-2.5,0.6,-1.2,-2.6,-4.0,-4.7,-3.5
" "," ","08. Kommunikation",-2.2,-1.6,-3.2,-3.5,-3.3,-1.1,-10.8,-11.1,-11.1,-11.1,-11.1,-10.8
" "," ","08.1 Posttjenester",53.5,53.5,53.5,53.5,53.5,53.5,82.6,82.6,82.6,82.6,82.6,82.6
" "," ","08.2 Telefon- og telefaxudstyr",-0.1,-2.0,-4.6,-6.6,-8.0,-8.9,-9.5,-9.0,-11.4,-10.9,-9.0,-8.1
" "," ","08.3 Teletjenester",-3.9,-2.9,-4.4,-4.4,-3.8,-1.0,-12.8,-13.2,-12.9,-13.1,-13.2,-13.2
" "," ","09. Fritid og kultur",0.6,0.4,0.2,0.2,-0.2,0.9,1.8,1.2,1.3,1.3,0.9,-0.5
" "," ","09.1 Audiovisuelt og fotografisk udstyr og dataudstyr",-2.6,-5.8,-5.9,-6.9,-7.8,-7.5,-8.1,-5.7,-6.6,-6.5,-7.4,-8.7
" "," ","09.2 Andre større varige forbrugsgoder til fritids- og kulturaktiviteter",2.1,1.8,1.7,2.3,2.2,2.2,2.1,1.8,2.0,1.8,2.1,1.9
" "," ","09.3 Andet tilbehør og udstyr til fritid, haver og kæledyr",-0.9,-0.8,-0.8,-0.4,0.2,1.1,2.2,1.5,2.0,3.0,2.5,2.5
" "," ","09.4 Fritids- og kulturtjenester",0.2,0.9,0.9,1.3,2.8,2.9,2.8,3.1,3.6,3.2,3.0,3.1
" "," ","09.5 Aviser, bøger og papirvarer",8.7,13.1,7.9,5.8,1.1,8.3,14.0,4.7,5.5,1.8,7.3,5.2
" "," ","09.6 Pakkerejser",2.5,-1.2,3.0,3.8,1.1,1.9,2.7,2.1,3.1,4.6,0.0,-8.4
" "," ","10. Uddannelse",2.4,2.4,2.4,2.4,2.4,2.4,2.4,3.0,2.6,3.0,3.0,3.0
" "," ","11. Restauranter og hoteller",0.2,1.1,0.8,1.8,2.6,2.6,6.5,4.3,1.9,2.0,1.2,1.0
" "," ","11.1 Restauranter, cafeer og kantiner mv.",0.5,0.4,0.9,1.3,1.3,0.9,1.7,1.8,1.6,1.7,1.7,1.7
" "," ","11.2 Overnatningsfaciliteter",-0.6,9.4,1.4,6.9,12.1,16.3,45.3,23.2,3.6,3.5,-2.1,-4.4
" "," ","12. Andre varer og tjenester",2.5,2.5,2.4,1.8,2.2,2.0,1.0,0.9,1.1,1.3,1.3,1.2
" "," ","12.1 Personlig pleje",0.0,-0.5,-0.5,-2.2,-0.2,-1.3,-1.6,-1.2,-0.3,-1.2,-1.8,-1.6
" "," ","12.3 Andre personlige effekter",-1.1,-0.8,-0.9,-2.1,-1.4,-1.4,-3.3,-3.5,-3.9,-3.3,-2.7,-2.7
" "," ","12.4 Daginstitutioner og social forsorg",2.3,2.3,2.3,2.3,2.3,2.3,2.1,1.8,1.8,1.8,1.8,1.8
" "," ","12.5 Forsikring",3.2,3.2,3.2,3.0,3.0,3.0,1.8,1.8,1.8,1.5,1.5,1.5
" "," ","12.6 Finansielle tjenester",5.5,5.5,5.5,5.7,5.5,5.5,2.4,2.4,2.4,1.6,1.4,1.4
" "," ","12.7 Andre tjenester",2.3,2.3,1.9,1.0,1.0,0.7,0.7,0.7,0.9,5.5,5.5,5.5
" ","1.000.000 kr. og derover"
" "," ","00 Forbrugerprisindekset i alt",0.6,0.4,0.0,0.0,0.2,0.3,0.5,0.4,0.1,0.2,0.3,0.5
" "," ","01 Fødevarer og ikke-alkoholiske drikkevarer",-0.1,0.9,-0.4,-0.1,0.6,-0.1,0.0,0.6,-0.1,-0.5,1.2,1.3
" "," ","01.1 Fødevarer",0.4,1.6,0.0,0.5,0.9,0.3,0.5,1.1,0.4,0.1,1.7,1.4
" "," ","01.2 Ikke-alkoholiske drikkevarer",-3.0,-4.7,-3.8,-5.0,-2.1,-2.6,-4.6,-4.1,-3.8,-4.8,-2.9,-0.2
" "," ","02. Alkoholiske drikkevarer og tobak",0.7,0.0,-0.4,0.4,0.4,-0.4,0.2,0.9,0.2,-0.2,0.2,-0.2
" "," ","02.1 Alkoholiske drikkevarer",1.1,-0.2,-0.6,0.6,0.5,-0.7,0.3,1.4,0.1,-0.3,0.2,-0.4
" "," ","02.2 Tobak",0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
" "," ","03. Beklædning og fodtøj",0.3,-1.9,-3.9,-3.8,-2.7,-2.2,-1.7,0.7,-2.8,-3.2,-3.0,-2.9
" "," ","03.1 Beklædning",-1.2,-3.7,-5.3,-5.2,-4.4,-3.6,-2.8,-0.2,-4.6,-5.0,-4.9,-5.0
" "," ","03.2 Fodtøj",5.8,4.5,1.2,1.3,3.4,2.8,2.7,4.7,3.1,3.3,3.8,4.6
" "," ","04. Boligbenyttelse, elektricitet og opvarmning",0.6,0.7,0.7,0.7,0.7,0.8,0.4,0.4,0.9,1.0,1.5,1.7
" "," ","04.1 Faktisk husleje",2.0,1.5,1.8,0.2,0.2,-0.4,-5.6,-5.6,0.8,0.7,1.6,1.7
" "," ","04.2 Beregnet lejeværdi af bolig",1.9,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
" "," ","04.3 Vedligeholdelse og reparation af bolig",1.0,2.3,2.7,2.0,1.8,2.0,2.4,2.8,1.7,1.2,1.2,0.0
" "," ","04.4 Vandforsyning og andre tjenester i forbindelse med boligen",1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.8,1.8,1.8
" "," ","04.5 Elektricitet, gas og andet brændsel",-3.8,-3.7,-3.8,-3.5,-3.4,-2.6,-3.1,-2.9,-2.9,-1.5,0.2,1.9
" "," ","05. Møbler, husholdningsudstyr og husholdningstjenester",1.0,0.7,-0.4,-0.1,0.2,0.1,-0.4,-1.4,-2.7,-0.5,-0.4,-1.6
" "," ","05.1 Møbler og boligudstyr, tæpper og anden gulvbelægning",2.6,2.7,-1.2,0.3,-0.6,0.1,-1.0,-1.7,-4.3,-0.5,0.4,-2.7
" "," ","05.2 Boligtekstiler",0.8,2.1,3.3,-0.2,1.5,-0.8,-0.9,3.5,-0.5,2.5,-2.9,-2.6
" "," ","05.3 Husholdningsapparater og reparation heraf",1.8,0.1,-0.6,-0.6,2.0,1.6,-1.2,-3.6,-4.1,-1.3,-1.0,-1.9
" "," ","05.4 Glas, service og husholdningsredskaber",-1.7,-3.6,-1.9,0.5,0.5,-0.9,3.5,-2.2,1.1,0.3,-0.7,-1.4
" "," ","05.5 Værktøj og udstyr til hus og have",1.6,1.2,1.6,2.2,1.6,2.6,0.8,0.3,-1.7,-1.9,0.3,0.0
" "," ","05.6 Andre varer og tjenester til husholdningen",-0.1,0.0,0.8,-0.2,0.0,-0.3,0.1,0.2,0.2,0.7,1.1,0.9
" "," ","06. Sundhed",-0.2,-0.6,-0.7,-1.3,-1.2,-0.2,0.1,0.2,0.4,1.1,1.1,0.8
" "," ","06.1 Medicinske produkter, apparater og medicinsk udstyr",-1.6,-2.6,-2.8,-3.6,-3.6,-1.7,-0.8,-0.7,-0.3,0.2,0.2,-0.3
" "," ","06.2 Ambulant behandling",1.1,1.1,1.1,0.9,0.9,0.9,0.9,0.9,0.9,1.9,1.9,1.9
" "," ","06.3 Hospitalstjenester",-0.5,-0.5,-0.5,-0.6,-0.6,-0.6,-2.3,-2.3,-2.3,-2.0,-2.0,-2.0
" "," ","07. Transport",-0.2,-1.9,-1.9,-2.4,-2.4,-2.1,-2.4,-2.1,-0.9,-0.3,-1.0,1.3
" "," ","07.1 Køb af køretøjer",-1.5,-1.6,-2.0,-1.9,-1.8,-1.8,-1.5,-1.8,-1.6,-1.7,-2.0,-0.6
" "," ","07.2 Drift af personlige transportmidler",0.5,-2.8,-2.4,-3.2,-2.8,-2.4,-3.8,-2.5,-0.2,1.2,0.5,3.5
" "," ","07.3 Transporttjenester",0.8,1.4,-0.1,-2.0,-2.9,-3.4,0.3,-2.1,-3.2,-4.3,-5.9,-4.1
" "," ","08. Kommunikation",-1.3,-0.9,-2.7,-3.0,-3.0,-1.3,-9.5,-9.8,-10.0,-10.0,-9.8,-9.5
" "," ","08.1 Posttjenester",53.5,53.5,53.5,53.5,53.5,53.5,82.6,82.6,82.6,82.6,82.6,82.6
" "," ","08.2 Telefon- og telefaxudstyr",-0.1,-1.9,-4.6,-6.6,-7.9,-8.9,-9.5,-9.0,-11.4,-10.9,-9.0,-8.1
" "," ","08.3 Teletjenester",-3.1,-2.3,-3.6,-3.5,-3.1,-0.5,-11.6,-12.0,-11.6,-11.9,-12.0,-12.1
" "," ","09. Fritid og kultur",1.0,0.7,0.7,0.6,-0.3,1.1,2.2,1.1,1.5,1.5,1.0,-1.1
" "," ","09.1 Audiovisuelt og fotografisk udstyr og dataudstyr",-2.3,-5.6,-5.9,-6.8,-7.3,-7.3,-7.7,-5.5,-6.6,-6.3,-7.3,-8.3
" "," ","09.2 Andre større varige forbrugsgoder til fritids- og kulturaktiviteter",1.8,1.2,1.0,2.2,2.2,2.2,2.1,2.1,2.1,1.9,1.8,1.7
" "," ","09.3 Andet tilbehør og udstyr til fritid, haver og kæledyr",-0.9,-0.4,-0.5,0.0,0.3,1.4,2.4,1.5,2.3,3.1,2.6,2.6
" "," ","09.4 Fritids- og kulturtjenester",0.1,0.7,0.8,1.6,2.5,2.7,2.4,2.8,3.4,2.9,2.8,2.9
" "," ","09.5 Aviser, bøger og papirvarer",10.0,16.8,9.4,6.5,0.3,9.9,17.8,4.7,6.5,2.2,9.2,6.5
" "," ","09.6 Pakkerejser",2.5,-1.2,3.0,3.8,1.1,1.9,2.7,2.1,3.1,4.6,0.0,-8.4
" "," ","10. Uddannelse",2.4,2.4,2.4,2.4,2.4,2.4,2.4,3.1,2.7,3.4,3.4,3.4
" "," ","11. Restauranter og hoteller",0.5,1.7,1.1,2.2,3.1,3.5,9.1,5.7,1.9,2.0,1.0,0.9
" "," ","11.1 Restauranter, cafeer og kantiner mv.",0.6,0.4,0.9,1.4,1.4,1.0,1.7,1.9,1.5,1.7,1.6,1.8
" "," ","11.2 Overnatningsfaciliteter",0.5,10.2,1.9,7.2,12.4,17.1,50.7,25.8,3.5,3.8,-1.8,-3.7
" "," ","12. Andre varer og tjenester",2.6,2.6,2.6,2.2,2.6,2.4,1.1,1.0,1.0,0.9,0.9,0.8
" "," ","12.1 Personlig pleje",0.4,0.1,0.3,-1.2,0.4,-0.7,-0.7,-0.6,0.0,-0.8,-1.3,-1.4
" "," ","12.3 Andre personlige effekter",-1.4,-1.0,-1.1,-2.2,-1.3,-1.2,-2.7,-3.3,-3.7,-3.2,-2.1,-2.2
" "," ","12.4 Daginstitutioner og social forsorg",2.2,2.2,2.2,2.2,2.2,2.2,2.0,1.7,1.7,1.7,1.7,1.7
" "," ","12.5 Forsikring",3.3,3.3,3.3,3.2,3.2,3.2,2.0,2.0,2.0,1.7,1.7,1.7
" "," ","12.6 Finansielle tjenester",5.6,5.6,5.6,5.8,5.8,5.8,2.2,2.2,2.2,1.3,0.9,0.9
" "," ","12.7 Andre tjenester",2.0,2.0,1.4,0.9,0.9,0.5,0.5,0.5,0.7,4.3,4.3,4.3

